 id,prompt,answer,family,rule_name,source
synv1_bit_000000,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01110101 -> 10100101
00001001 -> 11011001
11100110 -> 00110110
00101001 -> 11111001
10100111 -> 01110111
01001111 -> 10011111

Now, determine the output for: 11000110",00010110,bit_manipulation,not_xor_2f,synthetic_v1
synv1_equ_000000,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
-~|$&` = ""$[);]
_!$'~ = #\)+$
|%/'~ = [|`+$
|<!+ = [-\@
%^+ = |'@
@;<% = >%-|
Now, determine the result for: (|%~",~[|$,equation_symbol_transformation,symbol_substitution,synthetic_v1
synv1_gra_000000,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 2.5s, distance = 40.11 m
For t = 2.59s, distance = 44.11 m
For t = 1.79s, distance = 21.07 m
For t = 4.11s, distance = 111.07 m
For t = 1.38s, distance = 12.52 m
Now, determine the falling distance for t = 5.01s given d = 0.5*g*t^2.",165.03,gravity_formula,gravity_constant,synthetic_v1
synv1_num_000000,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
350 -> CCCL
227 -> CCXXVII
269 -> CCLXIX
148 -> CXLVIII
362 -> CCCLXII
Now, write the number 296 in the Wonderland numeral system.",CCXCVI,numeral_system,roman_numeral,synthetic_v1
synv1_tex_000000,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
lod mcvsdr ncaud txeldu -> the golden mouse writes
sxjmcr hcvvctu udqxdl -> dragon follows secret
ulasdrl txeldu fduesd njk -> student writes beside map
scm xdjsu mjxsdr -> dog reads garden
scm uddu kclecr -> dog sees potion
Now, decrypt the following text: ncaud hcvvctu fduesd mjxsdr",mouse follows beside garden,text_decryption,monoalphabetic_substitution,synthetic_v1
synv1_uni_000000,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
79.61 m becomes 130.80
9.47 m becomes 15.56
30.53 m becomes 50.16
Now, convert the following measurement: 45.34 m",74.49,unit_conversion,linear_scale,synthetic_v1
synv1_bit_000001,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00100111 -> 00110010
01001101 -> 00110010
01100101 -> 00110010
10100000 -> 00110010
10100111 -> 00110010
00000011 -> 00110010
11010001 -> 00110010
11011001 -> 00110010

Now, determine the output for: 10100101",00110010,bit_manipulation,mask_mix_03_5b_69,synthetic_v1
synv1_equ_000001,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
--(&: = $$'~""
][|<( = >(&)'
)_% = !`+
^[_ = ^(`
(@&?)+ = '@~-!*
-:' = $""/
Now, determine the result for: -[`&_",$(_~`,equation_symbol_transformation,symbol_substitution,synthetic_v1
synv1_gra_000001,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 2.69s, distance = 27.06 m
For t = 4.18s, distance = 65.35 m
For t = 4.24s, distance = 67.24 m
For t = 5.66s, distance = 119.81 m
For t = 1.40s, distance = 7.33 m
For t = 3.31s, distance = 40.98 m
Now, determine the falling distance for t = 2.6s given d = 0.5*g*t^2.",25.28,gravity_formula,gravity_constant,synthetic_v1
synv1_num_000001,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
241 -> CCXLI
168 -> CLXVIII
201 -> CCI
159 -> CLIX
Now, write the number 317 in the Wonderland numeral system.",CCCXVII,numeral_system,roman_numeral,synthetic_v1
synv1_tex_000001,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
gmc yixojiz lsixkw fccf -> the magical dragon sees
gmc yixojiz fgelcwg lsinf -> the magical student draws
tsowjcff nsogcf jifgzc -> princess writes castle
novisl fccf gmc xkzlcw yit -> wizard sees the golden map
tsowjcff fccf owfolc ykewgiow -> princess sees inside mountain
Now, decrypt the following text: gmc yixojiz fgelcwg nsogcf",the magical student writes,text_decryption,monoalphabetic_substitution,synthetic_v1
synv1_uni_000001,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
47.91 m becomes 77.66
17.59 m becomes 28.51
25.96 m becomes 42.08
Now, convert the following measurement: 25.6 m",41.45,unit_conversion,linear_scale,synthetic_v1
synv1_bit_000002,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01010100 -> 11001011
10110111 -> 00110011
00010111 -> 00011011
10000111 -> 00111111
10011011 -> 00111000
00011110 -> 01011001
10101001 -> 10110100
01000011 -> 00001110
10101111 -> 00110101

Now, determine the output for: 00111101",10010001,bit_manipulation,rotl6_xor_de,synthetic_v1
synv1_equ_000002,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
`+\~ = -;/+
^]?[\ = \^!?/
\]^@% = /^\`~
""-#""@ = [|:[`
&$*[& = ""@]?""
'<`( = #(-&
Now, determine the result for: `)]",-$^,equation_symbol_transformation,symbol_substitution,synthetic_v1
