 id,prompt,answer,family,rule_name,source
synthetic_v3_bit_000000,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00101111 -> 11011000
00000110 -> 11110001
01110101 -> 10000010
00001001 -> 11111110
11100110 -> 00010001
00101001 -> 11011110
10100111 -> 01010000
01001111 -> 10111000
11000110 -> 00110001
00000011 -> 11110100
01011011 -> 10101100
01101001 -> 10011110
10100011 -> 01010100
00100111 -> 11010000

Now, determine the output for: 01001101",10111010,bit_manipulation,xor_f7,synthetic_v3
synthetic_v3_equ_000000,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
$%)[& = )^':*
]`{(+"" = ~{&?""|
<>+/ = ]$""/
#"">^ = (|$[
""<(]_ = |]?~%
@;#\ = #<(\
Now, determine the result for: ++/%;","""""/^<",equation_symbol_transformation,symbol_substitution,synthetic_v3
synthetic_v3_gra_000000,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 2.00s, distance = 37.20 m
For t = 5.66s, distance = 297.93 m
For t = 4.69s, distance = 204.56 m
For t = 4.93s, distance = 226.04 m
For t = 0.84s, distance = 6.56 m
For t = 0.90s, distance = 7.53 m
For t = 1.73s, distance = 27.83 m
For t = 5.69s, distance = 301.10 m
Now, determine the falling distance for t = 5.68s given d = 0.5*g*t^2.",300.04,gravity_formula,gravity_constant,synthetic_v3
synthetic_v3_num_000000,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
202 -> CCII
54 -> LIV
8 -> VIII
301 -> CCCI
147 -> CXLVII
Now, write the number 177 in the Wonderland numeral system.",CLXXVII,numeral_system,roman_numeral,synthetic_v3
synthetic_v3_tex_000000,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
pgy hcmykp raohy tndxh -> the silent mouse draws
pgy rdbcvdm joyyk xncpyh -> the magical queen writes
hpotykp hyyh vdhpmy -> student sees castle
pgy hcmykp xcidnt auykh -> the silent wizard opens
xcidnt qocmth rdu -> wizard builds map
Now, decrypt the following text: pgy joyyk hyyh pgy hcmykp rdu",the queen sees the silent map,text_decryption,monoalphabetic_substitution,synthetic_v3
synthetic_v3_uni_000000,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
34.48 m becomes 50.79
23.60 m becomes 34.76
10.31 m becomes 15.19
22.2 m becomes 32.70
Now, convert the following measurement: 9.87 m",14.54,unit_conversion,linear_scale,synthetic_v3
synthetic_v3_bit_000001,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00000011 -> 01010010
11010001 -> 10000000
11011001 -> 10001000
10100101 -> 11110100
10011001 -> 11001000
11011110 -> 10001111
11111110 -> 10101111
01010100 -> 00000101
10110111 -> 11100110
00010111 -> 01000110
10000111 -> 11010110
10011011 -> 11001010

Now, determine the output for: 00011110",01001111,bit_manipulation,xor_51,synthetic_v3
synthetic_v3_equ_000001,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
(*# = >[#
@-;$`< = '!/{@`
^\? = }+)
|#</ = ?#`~
+;?!: = |/)]&
+*~~ = |[((
Now, determine the result for: *!~#<\",[](#`+,equation_symbol_transformation,symbol_substitution,synthetic_v3
synthetic_v3_gra_000001,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 5.26s, distance = 244.30 m
For t = 3.3s, distance = 96.16 m
For t = 0.92s, distance = 7.47 m
For t = 3.40s, distance = 102.07 m
For t = 4.74s, distance = 198.39 m
For t = 2.0s, distance = 35.32 m
Now, determine the falling distance for t = 2.45s given d = 0.5*g*t^2.",53.00,gravity_formula,gravity_constant,synthetic_v3
synthetic_v3_num_000001,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
241 -> CCXLI
320 -> CCCXX
261 -> CCLXI
397 -> CCCXCVII
113 -> CXIII
Now, write the number 209 in the Wonderland numeral system.",CCIX,numeral_system,roman_numeral,synthetic_v3
synthetic_v3_tex_000001,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
vma rqpvaysdip gybudt gspwdeayp -> the mysterious dragon discovers
vma cysumv rdipa gybzp -> the bright mouse draws
kiaat gspwdeayp ebhhaq -> queen discovers valley
vma zspa zsnbyg jstgp -> the wise wizard finds
wbv zysvap rbf -> cat writes map
Now, decrypt the following text: vma rdipa gspwdeayp vma zspa rbf",the mouse discovers the wise map,text_decryption,monoalphabetic_substitution,synthetic_v3
synthetic_v3_uni_000001,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
3.7 m becomes 3.74
68.10 m becomes 68.78
79.4 m becomes 80.19
Now, convert the following measurement: 55.58 m",56.14,unit_conversion,linear_scale,synthetic_v3
